code,name,prov_code,city_code,county_code,prov_name,city_name,county_name,level,is_prov,is_city,is_county
130622,河北省保定市清苑县,130000,130600,130622,河北省,河北省保定市,河北省保定市清苑县,县级,0,0,1
130623,河北省保定市涞水县,130000,130600,130623,河北省,河北省保定市,河北省保定市涞水县,县级,0,0,1
130624,河北省保定市阜平县,130000,130600,130624,河北省,河北省保定市,河北省保定市阜平县,县级,0,0,1
130625,河北省保定市徐水县,130000,130600,130625,河北省,河北省保定市,河北省保定市徐水县,县级,0,0,1
130626,河北省保定市定兴县,130000,130600,130626,河北省,河北省保定市,河北省保定市定兴县,县级,0,0,1
130627,河北省保定市唐县,130000,130600,130627,河北省,河北省保定市,河北省保定市唐县,县级,0,0,1
130628,河北省保定市高阳县,130000,130600,130628,河北省,河北省保定市,河北省保定市高阳县,县级,0,0,1
130629,河北省保定市容城县,130000,130600,130629,河北省,河北省保定市,河北省保定市容城县,县级,0,0,1
130630,河北省保定市涞源县,130000,130600,130630,河北省,河北省保定市,河北省保定市涞源县,县级,0,0,1
130631,河北省保定市望都县,130000,130600,130631,河北省,河北省保定市,河北省保定市望都县,县级,0,0,1
130632,河北省保定市安新县,130000,130600,130632,河北省,河北省保定市,河北省保定市安新县,县级,0,0,1
130633,河北省保定市易县,130000,130600,130633,河北省,河北省保定市,河北省保定市易县,县级,0,0,1
130634,河北省保定市曲阳县,130000,130600,130634,河北省,河北省保定市,河北省保定市曲阳县,县级,0,0,1
130635,河北省保定市蠡县,130000,130600,130635,河北省,河北省保定市,河北省保定市蠡县,县级,0,0,1
130636,河北省保定市顺平县,130000,130600,130636,河北省,河北省保定市,河北省保定市顺平县,县级,0,0,1
130637,河北省保定市博野县,130000,130600,130637,河北省,河北省保定市,河北省保定市博野县,县级,0,0,1
130638,河北省保定市雄县,130000,130600,130638,河北省,河北省保定市,河北省保定市雄县,县级,0,0,1
130681,河北省保定市涿州市,130000,130600,130681,河北省,河北省保定市,河北省保定市涿州市,县级,0,0,1
130682,河北省保定市定州市,130000,130600,130682,河北省,河北省保定市,河北省保定市定州市,县级,0,0,1
130683,河北省保定市安国市,130000,130600,130683,河北省,河北省保定市,河北省保定市安国市,县级,0,0,1
130684,河北省保定市高碑店市,130000,130600,130684,河北省,河北省保定市,河北省保定市高碑店市,县级,0,0,1
130700,河北省张家口市,130000,130700,130700,河北省,河北省张家口市,河北省张家口市,市级,0,1,0
130701,河北省张家口市市辖区,130000,130700,130701,河北省,河北省张家口市,河北省张家口市市辖区,县级,0,0,1
130702,河北省张家口市桥东区,130000,130700,130702,河北省,河北省张家口市,河北省张家口市桥东区,县级,0,0,1
130703,河北省张家口市桥西区,130000,130700,130703,河北省,河北省张家口市,河北省张家口市桥西区,县级,0,0,1
130705,河北省张家口市宣化区,130000,130700,130705,河北省,河北省张家口市,河北省张家口市宣化区,县级,0,0,1
130706,河北省张家口市下花园区,130000,130700,130706,河北省,河北省张家口市,河北省张家口市下花园区,县级,0,0,1
130721,河北省张家口市宣化县,130000,130700,130721,河北省,河北省张家口市,河北省张家口市宣化县,县级,0,0,1
130722,河北省张家口市张北县,130000,130700,130722,河北省,河北省张家口市,河北省张家口市张北县,县级,0,0,1
130723,河北省张家口市康保县,130000,130700,130723,河北省,河北省张家口市,河北省张家口市康保县,县级,0,0,1
130724,河北省张家口市沽源县,130000,130700,130724,河北省,河北省张家口市,河北省张家口市沽源县,县级,0,0,1
130725,河北省张家口市尚义县,130000,130700,130725,河北省,河北省张家口市,河北省张家口市尚义县,县级,0,0,1
130726,河北省张家口市蔚县,130000,130700,130726,河北省,河北省张家口市,河北省张家口市蔚县,县级,0,0,1
130727,河北省张家口市阳原县,130000,130700,130727,河北省,河北省张家口市,河北省张家口市阳原县,县级,0,0,1
130728,河北省张家口市怀安县,130000,130700,130728,河北省,河北省张家口市,河北省张家口市怀安县,县级,0,0,1
130729,河北省张家口市万全县,130000,130700,130729,河北省,河北省张家口市,河北省张家口市万全县,县级,0,0,1
130730,河北省张家口市怀来县,130000,130700,130730,河北省,河北省张家口市,河北省张家口市怀来县,县级,0,0,1
130731,河北省张家口市涿鹿县,130000,130700,130731,河北省,河北省张家口市,河北省张家口市涿鹿县,县级,0,0,1
130732,河北省张家口市赤城县,130000,130700,130732,河北省,河北省张家口市,河北省张家口市赤城县,县级,0,0,1
130733,河北省张家口市崇礼县,130000,130700,130733,河北省,河北省张家口市,河北省张家口市崇礼县,县级,0,0,1
130800,河北省承德市,130000,130800,130800,河北省,河北省承德市,河北省承德市,市级,0,1,0
130801,河北省承德市市辖区,130000,130800,130801,河北省,河北省承德市,河北省承德市市辖区,县级,0,0,1
130802,河北省承德市双桥区,130000,130800,130802,河北省,河北省承德市,河北省承德市双桥区,县级,0,0,1
130803,河北省承德市双滦区,130000,130800,130803,河北省,河北省承德市,河北省承德市双滦区,县级,0,0,1
130804,河北省承德市鹰手营子矿区,130000,130800,130804,河北省,河北省承德市,河北省承德市鹰手营子矿区,县级,0,0,1
130821,河北省承德市承德县,130000,130800,130821,河北省,河北省承德市,河北省承德市承德县,县级,0,0,1
130822,河北省承德市兴隆县,130000,130800,130822,河北省,河北省承德市,河北省承德市兴隆县,县级,0,0,1
130823,河北省承德市平泉县,130000,130800,130823,河北省,河北省承德市,河北省承德市平泉县,县级,0,0,1
130824,河北省承德市滦平县,130000,130800,130824,河北省,河北省承德市,河北省承德市滦平县,县级,0,0,1
130825,河北省承德市隆化县,130000,130800,130825,河北省,河北省承德市,河北省承德市隆化县,县级,0,0,1
130826,河北省承德市丰宁满族自治县,130000,130800,130826,河北省,河北省承德市,河北省承德市丰宁满族自治县,县级,0,0,1
130827,河北省承德市宽城满族自治县,130000,130800,130827,河北省,河北省承德市,河北省承德市宽城满族自治县,县级,0,0,1
130828,河北省承德市围场满族蒙古族自治县,130000,130800,130828,河北省,河北省承德市,河北省承德市围场满族蒙古族自治县,县级,0,0,1
130900,河北省沧州市,130000,130900,130900,河北省,河北省沧州市,河北省沧州市,市级,0,1,0
130901,河北省沧州市市辖区,130000,130900,130901,河北省,河北省沧州市,河北省沧州市市辖区,县级,0,0,1
130902,河北省沧州市新华区,130000,130900,130902,河北省,河北省沧州市,河北省沧州市新华区,县级,0,0,1
130903,河北省沧州市运河区,130000,130900,130903,河北省,河北省沧州市,河北省沧州市运河区,县级,0,0,1
130921,河北省沧州市沧县,130000,130900,130921,河北省,河北省沧州市,河北省沧州市沧县,县级,0,0,1
130922,河北省沧州市青县,130000,130900,130922,河北省,河北省沧州市,河北省沧州市青县,县级,0,0,1
130923,河北省沧州市东光县,130000,130900,130923,河北省,河北省沧州市,河北省沧州市东光县,县级,0,0,1
130924,河北省沧州市海兴县,130000,130900,130924,河北省,河北省沧州市,河北省沧州市海兴县,县级,0,0,1
130925,河北省沧州市盐山县,130000,130900,130925,河北省,河北省沧州市,河北省沧州市盐山县,县级,0,0,1
130926,河北省沧州市肃宁县,130000,130900,130926,河北省,河北省沧州市,河北省沧州市肃宁县,县级,0,0,1
130927,河北省沧州市南皮县,130000,130900,130927,河北省,河北省沧州市,河北省沧州市南皮县,县级,0,0,1
130928,河北省沧州市吴桥县,130000,130900,130928,河北省,河北省沧州市,河北省沧州市吴桥县,县级,0,0,1
130929,河北省沧州市献县,130000,130900,130929,河北省,河北省沧州市,河北省沧州市献县,县级,0,0,1
130930,河北省沧州市孟村回族自治县,130000,130900,130930,河北省,河北省沧州市,河北省沧州市孟村回族自治县,县级,0,0,1
130981,河北省沧州市泊头市,130000,130900,130981,河北省,河北省沧州市,河北省沧州市泊头市,县级,0,0,1
130982,河北省沧州市任丘市,130000,130900,130982,河北省,河北省沧州市,河北省沧州市任丘市,县级,0,0,1
130983,河北省沧州市黄骅市,130000,130900,130983,河北省,河北省沧州市,河北省沧州市黄骅市,县级,0,0,1
130984,河北省沧州市河间市,130000,130900,130984,河北省,河北省沧州市,河北省沧州市河间市,县级,0,0,1
131000,河北省廊坊市,130000,131000,131000,河北省,河北省廊坊市,河北省廊坊市,市级,0,1,0
131001,河北省廊坊市市辖区,130000,131000,131001,河北省,河北省廊坊市,河北省廊坊市市辖区,县级,0,0,1
131002,河北省廊坊市安次区,130000,131000,131002,河北省,河北省廊坊市,河北省廊坊市安次区,县级,0,0,1
131022,河北省廊坊市固安县,130000,131000,131022,河北省,河北省廊坊市,河北省廊坊市固安县,县级,0,0,1
131023,河北省廊坊市永清县,130000,131000,131023,河北省,河北省廊坊市,河北省廊坊市永清县,县级,0,0,1
131024,河北省廊坊市香河县,130000,131000,131024,河北省,河北省廊坊市,河北省廊坊市香河县,县级,0,0,1
131025,河北省廊坊市大城县,130000,131000,131025,河北省,河北省廊坊市,河北省廊坊市大城县,县级,0,0,1
131026,河北省廊坊市文安县,130000,131000,131026,河北省,河北省廊坊市,河北省廊坊市文安县,县级,0,0,1
131028,河北省廊坊市大厂回族自治县,130000,131000,131028,河北省,河北省廊坊市,河北省廊坊市大厂回族自治县,县级,0,0,1
131081,河北省廊坊市霸州市,130000,131000,131081,河北省,河北省廊坊市,河北省廊坊市霸州市,县级,0,0,1
